Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
99f93f6d-9b71-49e1-9bf6-acab2ac2788e,1995-03-19,,999-55-8781,S99977987,X12955855X,Mr.,Shane235,Beatty507,,,,white,irish,M,Clinton  Massachusetts  US,613 Lynch Neck,West Brookfield,Massachusetts,01585
7bfd729c-c9b0-49b0-8189-6720ddafe15b,1967-12-28,,999-15-1368,S99930210,X37785082X,Mr.,Quinn173,Spencer878,,,M,white,american,M,Lowell  Massachusetts  US,160 Crist Fort Unit 86,Fairhaven,Massachusetts,02719
0f563f64-0435-4d1e-9f13-533d7731a09e,1973-03-07,,999-30-9859,S99963354,X66339235X,Mr.,Willian804,Sauer652,,,S,white,english,M,Holden  Massachusetts  US,776 Moen Row,Norwell,Massachusetts,02061
574de034-2e02-44e9-81f7-70156fc6ff6b,1999-10-10,,999-90-9257,S99993294,,Mr.,Josue598,Greenfelder433,,,,white,american,M,Palmer Town  Massachusetts  US,395 Crooks Frontage road,Boston,Massachusetts,02108
e3fbd928-e029-4909-b845-0d63d3d38187,1987-05-09,,999-48-4430,S99988658,X23125920X,Mrs.,Belkis212,Stark857,,Schneider199,M,white,irish,F,Lawrence  Massachusetts  US,500 Osinski Rapid,Cambridge,Massachusetts,02138
18d800ff-6674-4f76-be41-c890caab796a,1953-04-22,,999-71-5763,S99988781,X86852502X,Mrs.,Hyo54,Goldner995,,Nicolas769,M,white,german,F,Brookline  Massachusetts  US,525 Davis Mill Apt 66,Revere,Massachusetts,02151
4e37c9f7-e089-4134-91ca-0f1d5fb40b67,1963-01-08,,999-17-6473,S99915112,X52574573X,Mrs.,Jenna662,McGlynn426,,Schaefer657,M,asian,chinese,F,Macau  Macao Special Administrative Region of the People's Republic of China  CN,342 Schmeler Promenade Unit 11,Salisbury,Massachusetts,01952
04342cd3-5d11-4e92-9eb1-26b992d7487a,1991-07-30,,999-37-1733,S99934295,X70382897X,Mr.,Noble66,Paucek755,,,M,white,swedish,M,Boston  Massachusetts  US,1028 Lind Union Apt 77,Amesbury Town,Massachusetts,01913
a667ba21-7756-4c8a-b0cc-8391314cedbb,1965-01-16,,999-78-7883,S99916269,X20422782X,Mrs.,Tresa661,Kuhlman484,,Hermiston71,M,white,french,F,North Andover  Massachusetts  US,505 Reilly Common Suite 2,Westborough,Massachusetts,01581
d0c34a49-1230-487a-9739-d5cb83c61b3a,2009-10-13,,999-59-5817,,,,Blake449,Wehner319,,,,white,french,F,Swansea  Massachusetts  US,231 Pfeffer Run,North Reading,Massachusetts,01864
